0.000000  0.000000  1   150    0    0    0    0    0    0  
0.002250  0.030900  2   100    50    0    0    0    0    0  
0.004500  0.005979  3   98    50    2    0    0    0    0  
0.006750  0.006227  3   98    50    2    0    0    0    0  
0.009000  0.005978  3   98    50    2    0    0    0    0  
0.011250  0.006179  4   94    50    4    2    0    0    0  
0.013500  0.006010  4   94    50    4    2    0    0    0  
0.015750  0.006071  4   94    50    4    2    0    0    0  
0.018000  0.005961  4   94    50    4    2    0    0    0  
0.020250  0.006102  4   94    50    4    2    0    0    0  
0.022500  0.006502  4   94    50    4    2    0    0    0  
0.024750  0.006558  4   94    50    4    2    0    0    0  
0.027000  0.006821  4   94    50    4    2    0    0    0  
0.029250  0.007265  4   94    50    4    2    0    0    0  
0.031500  0.007853  4   94    50    4    2    0    0    0  
0.033750  0.008963  4   94    50    4    2    0    0    0  
0.036000  0.010228  5   90    50    4    4    2    0    0  
0.038250  0.012461  5   90    50    4    4    2    0    0  
0.040500  0.013442  6   88    50    4    4    2    2    0  
0.042750  0.015492  6   88    50    4    4    2    2    0  
0.045000  0.015636  7   83    50    5    4    4    2    2  
0.047250  0.016023  8   83    48    5    4    4    2    2  
0.049500  0.015632  8   83    48    5    4    4    2    2  
0.051750  0.013987  9   48    42    41    5    4    4    2  
0.054000  0.012994  10   48    42    24    17    5    4    4  
0.056250  0.011375  10   48    42    24    17    5    4    4  
0.058500  0.010467  10   48    42    24    17    5    4    4  
0.060750  0.009554  12   44    39    24    17    5    4    4  
0.063000  0.009043  11   44    42    24    17    5    4    4  
0.065250  0.008452  12   44    39    24    17    5    4    4  
0.067500  0.007357  12   44    39    24    17    5    4    4  
0.069750  0.006892  12   44    39    24    17    5    4    4  
0.072000  0.006357  13   44    32    24    17    7    5    4  
0.074250  0.005823  14   41    32    24    17    7    5    4  
0.076500  0.005423  15   36    31    24    17    8    5    5  
0.078750  0.005137  15   36    32    24    17    7    5    5  
0.081000  0.004714  15   36    32    24    17    7    5    5  
0.083250  0.004438  15   36    32    24    17    7    6    5  
0.085500  0.004030  16   36    32    24    17    7    5    4  
0.087750  0.003872  16   36    32    24    17    7    5    4  
0.090000  0.003749  16   32    24    18    18    17    7    6  
