5 18 28 29 32 40 0 
10 13 26 35 46 0 0 
4 7 13 48 0 0 0 
3 30 46 48 0 0 0 
1 18 22 38 41 0 0 
11 19 20 45 47 0 0 
3 12 23 48 0 0 0 
12 27 40 50 0 0 0 
14 39 42 0 0 0 0 
2 13 31 35 50 0 0 
6 17 28 37 49 0 0 
7 8 25 30 0 0 0 
2 3 10 0 0 0 0 
9 39 0 0 0 0 0 
16 34 0 0 0 0 0 
15 34 0 0 0 0 0 
11 34 0 0 0 0 0 
1 5 28 40 41 0 0 
6 0 0 0 0 0 0 
6 22 33 47 49 0 0 
32 0 0 0 0 0 0 
5 20 47 49 0 0 0 
7 0 0 0 0 0 0 
27 44 99 0 0 0 0 
12 0 0 0 0 0 0 
2 31 35 0 0 0 0 
8 24 44 0 0 0 0 
1 11 18 29 40 49 0 
1 28 40 0 0 0 0 
4 12 31 48 0 0 0 
10 26 30 35 0 0 0 
1 21 0 0 0 0 0 
20 34 0 0 0 0 0 
15 16 17 33 0 0 0 
2 10 26 31 0 0 0 
50 0 0 0 0 0 0 
11 0 0 0 0 0 0 
5 0 0 0 0 0 0 
9 14 43 0 0 0 0 
1 8 18 28 29 0 0 
5 18 0 0 0 0 0 
9 0 0 0 0 0 0 
39 48 0 0 0 0 0 
24 27 0 0 0 0 0 
6 0 0 0 0 0 0 
2 4 0 0 0 0 0 
6 20 22 49 0 0 0 
3 4 7 30 43 0 0 
11 20 22 28 47 0 0 
8 10 36 0 0 0 0 
53 77 0 0 0 0 0 
57 66 76 87 92 0 0 
51 77 78 87 0 0 0 
70 81 82 90 0 0 0 
59 75 76 77 0 0 0 
67 79 91 0 0 0 0 
52 86 0 0 0 0 0 
61 94 99 0 0 0 0 
55 66 76 77 87 0 0 
90 0 0 0 0 0 0 
58 82 94 99 0 0 0 
79 97 98 0 0 0 0 
93 0 0 0 0 0 0 
74 79 92 0 0 0 0 
80 83 0 0 0 0 0 
52 59 75 76 0 0 0 
56 85 0 0 0 0 0 
83 93 96 0 0 0 0 
73 88 120 0 0 0 0 
54 81 82 90 93 0 0 
86 128 139 150 0 0 0 
83 93 98 0 0 0 0 
69 120 124 134 147 0 0 
64 92 0 0 0 0 0 
55 66 76 98 0 0 0 
52 55 59 66 75 0 0 
51 53 55 59 87 0 0 
53 87 111 0 0 0 0 
56 62 64 92 98 0 0 
65 82 0 0 0 0 0 
54 70 82 90 0 0 0 
54 61 70 80 81 0 0 
65 68 72 93 100 0 0 
102 134 135 143 150 0 0 
67 107 0 0 0 0 0 
57 71 0 0 0 0 0 
52 53 59 77 78 0 0 
69 0 0 0 0 0 0 
95 96 97 100 0 0 0 
54 60 70 81 0 0 0 
56 95 0 0 0 0 0 
52 64 74 79 98 0 0 
63 68 70 72 83 100 0 
58 61 99 0 0 0 0 
89 91 97 100 0 0 0 
68 89 97 100 0 0 0 
62 89 95 96 100 0 0 
62 72 75 79 92 0 0 
24 58 61 94 0 0 0 
83 89 93 95 96 97 0 
137 0 0 0 0 0 0 
84 114 122 143 150 0 0 
121 126 131 0 0 0 0 
112 117 129 133 138 0 0 
125 129 133 141 144 0 0 
108 118 119 123 136 0 0 
85 0 0 0 0 0 0 
106 126 130 131 0 0 0 
129 0 0 0 0 0 0 
121 0 0 0 0 0 0 
78 116 148 0 0 0 0 
104 117 129 147 148 0 0 
125 140 141 146 0 0 0 
102 122 143 0 0 0 0 
122 0 0 0 0 0 0 
111 137 146 148 149 0 0 
104 112 129 138 148 0 0 
106 132 0 0 0 0 0 
106 123 0 0 0 0 0 
69 73 0 0 0 0 0 
103 110 125 140 141 144 145 
102 114 115 143 0 0 0 
106 119 136 0 0 0 0 
73 127 128 134 147 0 0 
105 113 121 141 144 0 0 
103 108 130 131 0 0 0 
124 128 139 147 0 0 0 
71 124 127 139 150 0 0 
104 105 109 112 117 133 0 
108 126 131 0 0 0 0 
103 108 126 130 136 0 0 
118 0 0 0 0 0 0 
104 105 129 0 0 0 0 
73 84 124 0 0 0 0 
84 0 0 0 0 0 0 
106 123 131 0 0 0 0 
101 116 145 149 0 0 0 
104 117 148 0 0 0 0 
71 127 128 150 0 0 0 
113 121 142 146 0 0 0 
105 113 121 125 144 145 0 
140 146 0 0 0 0 0 
84 102 114 122 150 0 0 
105 121 125 141 145 0 0 
121 137 141 144 0 0 0 
113 116 140 142 148 0 0 
73 112 124 127 0 0 0 
111 112 116 117 138 146 0 
116 137 0 0 0 0 0 
71 84 102 128 139 143 0 
